Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
Bejeweled,Taylor Swift,Midnights (3am Edition),Taylor Swift,2022-10-22,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,194165
Vigilante Shit,Taylor Swift,Midnights (3am Edition),Taylor Swift,2022-10-22,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,164801
Anti-Hero,Taylor Swift,Midnights (3am Edition),Taylor Swift,2022-10-22,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,200690
Paper Rings,Taylor Swift,Lover,Taylor Swift,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,222400
Through the Dark,One Direction,Midnight Memories (Deluxe),One Direction,2013-11-25,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,221733
They Don t Know About Us,One Direction,Take Me Home (Expanded Edition),One Direction,2012-11-12,https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf,200400
You Need To Calm Down,Taylor Swift,Lover,Taylor Swift,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,171360
The Man,Taylor Swift,Lover,Taylor Swift,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,190360
Bigger Than Me,Louis Tomlinson,Bigger Than Me,Louis Tomlinson,2022-09-01,https://i.scdn.co/image/ab67616d0000b273ccc23641ad3a2e969b261e40,221440
ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",Lover,Taylor Swift,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,193000
Nice To Meet Ya,Niall Horan,Nice To Meet Ya,Niall Horan,2019-10-04,https://i.scdn.co/image/ab67616d0000b2732c40a347a68ea9bf72e01d6c,158805
Last First Kiss,One Direction,Take Me Home (Expanded Edition),One Direction,2012-11-12,https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf,203546
You & I,One Direction,Midnight Memories (Deluxe),One Direction,2013-11-25,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,237933
Bad Blood,Taylor Swift,1989,Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b273b7e976d2b35c767f9012cb72,211933
I Don t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",reputation Stadium Tour Surprise Song Playlist,Taylor Swift,2017-11-09,https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918,247160
Señorita,"Shawn Mendes, Camila Cabello",Señorita,"Shawn Mendes, Camila Cabello",2019-06-21,https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,190960
Lean On,"Major Lazer, MØ, DJ Snake",Peace Is The Mission (Extended),"Major Lazer, Diplo",2015-11-27,https://i.scdn.co/image/ab67616d0000b273548910835dbfaf3f79a1dc46,176561
Cheap Thrills,Sia,This Is Acting,Sia,2016-01-29,https://i.scdn.co/image/ab67616d0000b27349e0134c686547c28b7c999f,211666
Stronger (What Doesn t Kill You),Kelly Clarkson,Stronger (Deluxe Version),Kelly Clarkson,2011-10-24,https://i.scdn.co/image/ab67616d0000b273af384269742c6b04308c1be8,221946
Closer,"The Chainsmokers, Halsey",Closer,"The Chainsmokers, Halsey",2016-07-29,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,244960
Thunder,Imagine Dragons,Evolve,Imagine Dragons,2017-06-23,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,187146
